nume_actiune,timestamp
adaugareProdus,2024-05-24 19:30:00.8118279
stergereProdus,2024-05-24 19:30:00.8178292
sortareProduse,2024-05-24 19:30:00.8188311
afisareProduse,2024-05-24 19:30:00.8198321
numarareProduse,2024-05-24 19:30:00.8208279
cautareProdusCategorie,2024-05-24 19:30:00.8208279
cautareProdusNume,2024-05-24 19:30:00.8218353
adaugareProdus,2024-05-24 19:30:58.5477498
adaugareProdus,2024-05-24 19:30:58.5617597
adaugareProdus,2024-05-24 19:30:58.5627542
adaugareProdus,2024-05-24 19:30:58.5627542
adaugareProdus,2024-05-24 19:30:58.5637523
stergereProdus,2024-05-24 19:30:58.5697553
sortareProduse,2024-05-24 19:30:58.5707528
afisareProduse,2024-05-24 19:30:58.5717544
numarareProduse,2024-05-24 19:30:58.5727522
cautareProdusCategorie,2024-05-24 19:30:58.5727522
cautareProdusNume,2024-05-24 19:30:58.5737514
adaugareProdus,2024-05-24 19:31:40.0787399
adaugareProdus,2024-05-24 19:31:40.0947433
adaugareProdus,2024-05-24 19:31:40.0957417
adaugareProdus,2024-05-24 19:31:40.0957417
adaugareProdus,2024-05-24 19:31:40.0977395
stergereProdus,2024-05-24 19:31:40.1057843
sortareProduse,2024-05-24 19:31:40.1067414
afisareProduse,2024-05-24 19:31:40.1077477
numarareProduse,2024-05-24 19:31:40.1087437
cautareProdusCategorie,2024-05-24 19:31:40.1097464
cautareProdusNume,2024-05-24 19:31:40.1097464
adaugareProdus,2024-05-24 19:33:31.6910139
adaugareProdus,2024-05-24 19:33:31.702011
adaugareProdus,2024-05-24 19:33:31.7030109
adaugareProdus,2024-05-24 19:33:31.7030109
adaugareProdus,2024-05-24 19:33:31.7040165
stergereProdus,2024-05-24 19:33:31.7090166
sortareProduse,2024-05-24 19:33:31.7100141
afisareProduse,2024-05-24 19:33:31.7110121
numarareProduse,2024-05-24 19:33:31.7120135
cautareProdusCategorie,2024-05-24 19:33:31.7130131
cautareProdusNume,2024-05-24 19:33:31.7130131
adaugareProdus,2024-05-24 19:34:00.9412518
adaugareProdus,2024-05-24 19:34:00.9542669
adaugareProdus,2024-05-24 19:34:00.9552509
adaugareProdus,2024-05-24 19:34:00.9552509
adaugareProdus,2024-05-24 19:34:00.9562514
stergereProdus,2024-05-24 19:34:00.962251
sortareProduse,2024-05-24 19:34:00.9632521
afisareProduse,2024-05-24 19:34:00.964256
numarareProduse,2024-05-24 19:34:00.9652503
cautareProdusCategorie,2024-05-24 19:34:00.9652503
cautareProdusNume,2024-05-24 19:34:00.9662494
adaugareProdus,2024-05-24 19:34:41.2804391
adaugareProdus,2024-05-24 19:34:41.303426
adaugareProdus,2024-05-24 19:34:41.304423
adaugareProdus,2024-05-24 19:34:41.304423
adaugareProdus,2024-05-24 19:34:41.3074248
stergereProdus,2024-05-24 19:34:41.3134283
sortareProduse,2024-05-24 19:34:41.3154247
afisareProduse,2024-05-24 19:34:41.3164236
numarareProduse,2024-05-24 19:34:41.3164236
cautareProdusCategorie,2024-05-24 19:34:41.3174303
cautareProdusNume,2024-05-24 19:34:41.3184304
adaugareProdus,2024-05-24 19:40:18.280155
adaugareProdus,2024-05-24 19:40:18.2931482
adaugareProdus,2024-05-24 19:40:18.2931482
adaugareProdus,2024-05-24 19:40:18.2941481
adaugareProdus,2024-05-24 19:40:18.2951488
stergereProdus,2024-05-24 19:40:18.3011474
sortareProduse,2024-05-24 19:40:18.3021509
afisareProduse,2024-05-24 19:40:18.3031519
numarareProduse,2024-05-24 19:40:18.3041564
cautareProdusCategorie,2024-05-24 19:40:18.3051599
cautareProdusNume,2024-05-24 19:40:18.3061504
adaugareProdus,2024-05-24 19:47:44.649141
adaugareProdus,2024-05-24 19:47:44.6611437
adaugareProdus,2024-05-24 19:47:44.6611437
adaugareProdus,2024-05-24 19:47:44.6621437
adaugareProdus,2024-05-24 19:47:44.6631447
stergereProdus,2024-05-24 19:47:44.670143
sortareProduse,2024-05-24 19:47:44.6721445
afisareProduse,2024-05-24 19:47:44.6731447
numarareProduse,2024-05-24 19:47:44.6741507
cautareProdusCategorie,2024-05-24 19:47:44.6741507
cautareProdusNume,2024-05-24 19:47:44.6751429
adaugareProdus,2024-05-24 19:53:09.0522706
adaugareProdus,2024-05-24 19:53:09.063277
adaugareProdus,2024-05-24 19:53:09.0642849
adaugareProdus,2024-05-24 19:53:09.0652727
adaugareProdus,2024-05-24 19:53:09.0652727
stergereProdus,2024-05-24 19:53:09.0702734
sortareProduse,2024-05-24 19:53:09.0722742
afisareProduse,2024-05-24 19:53:09.0732736
numarareProduse,2024-05-24 19:53:09.0732736
cautareProdusCategorie,2024-05-24 19:53:09.0742727
cautareProdusNume,2024-05-24 19:53:09.075277
adaugareProdus,2024-05-24 19:55:31.1735885
adaugareProdus,2024-05-24 19:55:31.1875899
adaugareProdus,2024-05-24 19:55:31.1885928
adaugareProdus,2024-05-24 19:55:31.189598
adaugareProdus,2024-05-24 19:55:31.1906039
stergereProdus,2024-05-24 19:55:31.1975968
sortareProduse,2024-05-24 19:55:31.1985908
afisareProduse,2024-05-24 19:55:31.199592
numarareProduse,2024-05-24 19:55:31.2005909
cautareProdusCategorie,2024-05-24 19:55:31.2005909
cautareProdusNume,2024-05-24 19:55:31.201589
adaugareProdus,2024-05-24 19:56:25.1269674
adaugareProdus,2024-05-24 19:56:25.1399661
adaugareProdus,2024-05-24 19:56:25.1409679
adaugareProdus,2024-05-24 19:56:25.1409679
adaugareProdus,2024-05-24 19:56:25.1419668
stergereProdus,2024-05-24 19:56:25.1479679
sortareProduse,2024-05-24 19:56:25.1489652
afisareProduse,2024-05-24 19:56:25.1499734
numarareProduse,2024-05-24 19:56:25.1509685
cautareProdusCategorie,2024-05-24 19:56:25.1509685
cautareProdusNume,2024-05-24 19:56:25.1519664
adaugareProdus,2024-05-24 19:56:55.1203621
adaugareProdus,2024-05-24 19:56:55.1333615
adaugareProdus,2024-05-24 19:56:55.134362
adaugareProdus,2024-05-24 19:56:55.1353581
adaugareProdus,2024-05-24 19:56:55.1353581
stergereProdus,2024-05-24 19:56:55.1423639
sortareProduse,2024-05-24 19:56:55.143363
afisareProduse,2024-05-24 19:56:55.1443687
numarareProduse,2024-05-24 19:56:55.145361
cautareProdusCategorie,2024-05-24 19:56:55.1463607
cautareProdusNume,2024-05-24 19:56:55.1473599
adaugareProdus,2024-05-24 19:58:51.6841754
adaugareProdus,2024-05-24 19:58:51.698169
adaugareProdus,2024-05-24 19:58:51.6991696
adaugareProdus,2024-05-24 19:58:51.6991696
adaugareProdus,2024-05-24 19:58:51.7001684
stergereProdus,2024-05-24 19:58:51.7061687
sortareProduse,2024-05-24 19:58:51.7071678
afisareProduse,2024-05-24 19:58:51.7081732
numarareProduse,2024-05-24 19:58:51.709169
cautareProdusCategorie,2024-05-24 19:58:51.7111991
cautareProdusNume,2024-05-24 19:58:51.7121684
adaugareProdus,2024-05-24 19:59:42.3048386
adaugareProdus,2024-05-24 19:59:42.3198384
adaugareProdus,2024-05-24 19:59:42.3208404
adaugareProdus,2024-05-24 19:59:42.3208404
adaugareProdus,2024-05-24 19:59:42.3218353
stergereProdus,2024-05-24 19:59:42.3298366
